2026-08-13 11:12:06 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:261 | Multi-baseline comparison complete! Best Model identified: [CatBoost] (Score: 0.0242)
2026-08-13 11:12:06 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:358 | Successfully persisted complete classification pipeline to: models\catboost_resolution_time_hours.pkl
2026-08-13 11:12:06 | WARNING  | src.ml.model_registry | model_registry:register_model:104 | Overwriting registered model metadata for key: catboost_resolution_time_hours:v1.0.0
2026-08-13 11:12:06 | INFO     | src.ml.model_registry | model_registry:register_model:124 | Registered model catboost_resolution_time_hours:v1.0.0 (SHA256: b24cf47e7d49...)
2026-08-13 11:12:06 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:378 | Registered model catboost_resolution_time_hours:v1.0.0 (Acc: 0.0667, F1: 0.0242)
2026-08-13 11:12:06 | INFO     | src.ml.catboost.evaluator | evaluator:_resolve_pipeline_and_test_data:88 | Loading model pipeline from models\catboost_assignment_group.pkl...
2026-08-13 11:12:08 | INFO     | src.ml.catboost.evaluator | evaluator:extract_and_export_feature_importances:212 | Exported Feature Importance ranking across 196 predictors to reports\feature_importance_assignment_group.csv, reports\feature_importance_assignment_group.md, and reports\feature_importance_assignment_group.png
2026-08-13 11:12:09 | INFO     | src.ml.catboost.evaluator | evaluator:evaluate_classification:329 | Classification evaluation complete! Acc=0.7333, Top3Acc=0.7333, F1=0.6815
2026-08-13 11:12:09 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:156 | Computing SHAP values across 15 records...
2026-08-13 11:12:10 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:199 | Exported global SHAP plots to reports/shap_bar.png & reports/shap_summary.png
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:139 | Constructing semantic text documents across 70 incident records...
2026-08-13 11:12:10 | WARNING  | src.ml.semantic.embedding_generator | embedding_generator:model:82 | Pipeline models\embeddings\tfidf-svd-384.pkl does not exist. It will be trained upon calling embed_dataframe.
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:149 | Training TF-IDF + TruncatedSVD pipeline across 70 documents...
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:173 | Saved local embedding pipeline to models\embeddings\tfidf-svd-384.pkl
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:191 | Embedding complete. Matrix shape: (70, 69), Metadata records: 70
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:save_embeddings:243 | Saved separated embedding artifacts to:
  - Vector Matrix: models\embeddings\incident_embeddings.npy ((70, 69))
  - Metadata Table: models\embeddings\incident_metadata.csv (70 records)
2026-08-13 11:12:10 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:build_index_from_dataframe:65 | Starting end-to-end semantic index build across 70 records...
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:139 | Constructing semantic text documents across 70 incident records...
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:model:74 | Loading local embedding pipeline 'tfidf-svd-384' from models\embeddings\tfidf-svd-384.pkl...
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:model:77 | Successfully loaded embedding pipeline. Dimension: 384
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:164 | Using pre-trained embedding pipeline across 70 documents...
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:173 | Saved local embedding pipeline to models\embeddings\tfidf-svd-384.pkl
2026-08-13 11:12:10 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:191 | Embedding complete. Matrix shape: (70, 69), Metadata records: 70
2026-08-13 11:12:11 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:save_embeddings:243 | Saved separated embedding artifacts to:
  - Vector Matrix: models\embeddings\incident_semantic_index_embeddings.npy ((70, 69))
  - Metadata Table: models\embeddings\incident_semantic_index_metadata.csv (70 records)
2026-08-13 11:12:11 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'incident_semantic_index' (type=FlatIP, dim=69)...
